Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,Repository
presentation.gui.windows.main,ExportWindow.ExportHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows.main,ExportWindow.ExportHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.main,MainWindow,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.main,MainWindow.CloseHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows.main,MainWindow.CloseHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.main,NewWorldWindow,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.main,NewWorldWindow,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: txtName; txtSeed; cmbWorldType; cmbGameType; cmbWorldProvider; cmbDifficulty; spinX; spinY; spinZ; chkHardcore; mainController; id; name,,CXgamer_MC-ticker
presentation.gui.windows.main,NewWorldWindow.IdStringMapping,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; name,CXgamer_MC-ticker
presentation.gui.windows.main,NewWorldWindow.IdStringMapping,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.main,NewWorldWindow.IdStringMapping,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: id; name,,CXgamer_MC-ticker
presentation.gui.windows.main.options,OptionsWindow,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.main.options,OptionsWindow.ColorPickerButton,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows.main.options,OptionsWindow.ColorPickerButton,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.world,DrawingWindow,Feature Envy,The tool detected a instance of this smell because zoom is more interested in members of the type: Editor,,CXgamer_MC-ticker
presentation.gui.windows.world,DrawingWindow,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainController; RSFrame; StatusPanel; WorldController; WorldMenu; TimeController; NBTviewer; NBTController; LayerManager; Editor; CursorPanel; SelectionPanel; SelectionManager; BlockPanel; LayerPanel; EntityManager; EntityPanel; DrawingWindow; Tool; Timebar; Toolbar; WindowMenu; FileMenu; BlockChooser; WorldListener,,CXgamer_MC-ticker
presentation.gui.windows.world,DrawingWindow.ZoomHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows.world,DrawingWindow.ZoomHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.world,DrawingWindow.LayerHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows.world,DrawingWindow.LayerHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.world,DrawingWindow.InternalFrameHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
